# Showcase US + Landmark (Webedia Gatsby "boxofficeapi", the same platform Showcase UK and
# Everyman run): platform theater id -> our roster display name.
# Roster: https://www.showcasecinemas.com/page-data/sq/d/2506275789.json -> data.allTheater.nodes[]
#         https://www.landmarktheatres.com/page-data/sq/d/2506275789.json -> data.allTheater.nodes[]
# Captured 2026-08-30. Showcase 13/13 of the chain roster; Landmark 26/26.
# NOT mapped, and so left on flicks.us: Showcase Randolph, Landmark Esquire Theatre,
# Landmark Plaza Frontenac Cinema — none of the three appears in its own chain roster.
# Columns: brand, theaterId, timeZone, apiName, venuePath, ourDisplayName
showcase-us	X06PR	America/New_York	Blackstone Valley 14: Cinema de Lux	/theaters/x06pr-blackstone-valley-14-cinema-de-lux	Blackstone Valley 14 Millbury
showcase-us	X06DU	America/New_York	Island 16: Cinema de Lux	/theaters/x06du-island-16-cinema-de-lux	Island 16 Holtsville
showcase-us	X0PTT	America/New_York	Showcase SuperLux Chestnut Hill	/theaters/x0ptt-showcase-superlux-chestnut-hill	Showcase Chestnut Hill
showcase-us	X000P	America/New_York	Showcase Cinema de Lux Cross County	/theaters/x000p-showcase-cinema-de-lux-cross-county	Showcase Cross County
showcase-us	X00UF	America/New_York	Showcase Cinema de Lux Farmingdale	/theaters/x00uf-showcase-cinema-de-lux-farmingdale	Showcase Farmingdale
showcase-us	G019K	America/New_York	Showcase Cinema de Lux Hanover Crossing	/theaters/g019k-showcase-cinema-de-lux-hanover-crossing	Showcase Hanover Crossing
showcase-us	X0C11	America/New_York	Showcase Cinema de Lux Legacy Place	/theaters/x0c11-showcase-cinema-de-lux-legacy-place	Showcase Legacy Place Dedham
showcase-us	X02XX	America/New_York	Showcase Cinema de Lux Lowell	/theaters/x02xx-showcase-cinema-de-lux-lowell	Showcase Lowell
showcase-us	X02RA	America/New_York	Showcase Cinema de Lux North Attleboro	/theaters/x02ra-showcase-cinema-de-lux-north-attleboro	Showcase North Attleboro
showcase-us	X0L42	America/New_York	Showcase Cinema de Lux Ridge Hill	/theaters/x0l42-showcase-cinema-de-lux-ridge-hill	Showcase Ridge Hill Yonkers
showcase-us	X0343	America/New_York	Showcase Cinema de Lux Springdale	/theaters/x0343-showcase-cinema-de-lux-springdale	Showcase Springdale
